TEMPLATE_CD,SEND_TYPE,SEND_SVC,TITLE,CONTENTS,DESCRIPTION
E-Bid101,SMS,BID,랜딩페이지 > 아이디 찾기,[팬택 E-Bid] 찾고자 하는 아이디는 #{loginId} 입니다.,아이디 찾는 사용자
E-Bid102,SMS,BID,랜딩페이지 > 비밀번호 찾기,[팬택 E-Bid] 초기화 된 비밀번호는 #{loginPw} 입니다.,비밀번호 찾는 사용자
E-Bid001,KKO,BID,신규업체 승인요청,"[팬택 E-Bid] 협력사(#{custName})에서 회원가입 요청이왔습니다. 
업체승인 페이지에서 업체를 확인 후 3일 내 처리해 주십시오",계열사 관리자권한을 가지 사용자
E-Bid002,KKO,BID,회원가입 승인시,[팬택 E-Bid] 요청하신 팬택 E-Bid 전자입찰 시스템 회원가입이 승인되었습니다.,승인된 협력사
E-Bid003,KKO,BID,입찰계획 등록 시,[팬택 E-Bid] 입찰계획을 등록하였습니다. 입찰명은 [#{biName}] 입니다.,입찰공고자
E-Bid004,KKO,BID,입찰계획 삭제 시,[팬택 E-Bid] 입찰계획을 삭제하였습니다. 입찰명은 [#{biName}] 입니다.,입찰공고자
E-Bid005,KKO,BID,유찰 시,[팬택 E-Bid] 공고된 입찰[#{biName}]이 유찰되었습니다.,투찰한 업체
E-Bid006,KKO,BID,재입찰 발송,[팬택 E-Bid] 팬택 E-Bid 전자입찰에서 재입찰을 공고하였습니다. 확인바랍니다.,재입찰 시 선택된 협력사
E-Bid007,KKO,BID,낙찰 시,[팬택 E-Bid] 참여하신 입찰(#{biName})에 낙찰되었습니다. 확인바랍니다.,낙찰된 업체
E-Bid008,KKO,BID,"지명경쟁입찰일때, 입찰 공고시",[팬택 E-Bid] 참여하실 입찰(#{biName})이 공고되었습니다. 확인바랍니다.,지명경쟁입찰: 선택된 입찰 참가업체
E-Bid009,KKO,BID,입찰투찰 독촉,[팬택 E-Bid] 입찰(#{biName}) 마감시간이 다가오고 있습니다. 확인바랍니다.,지명된 협력사 중 투찰하지 않은 협력사 사용자
E-Bid010,KKO,BID,입찰마감 시,[팬택 E-Bid] 공고된 입찰[#{biName}]이 마감되었습니다. 입찰을 개찰 후 낙찰/유찰 처리해 주십시오,개찰자
