TEMPLATE_CD,SEND_TYPE,SEND_SVC,TITLE,CONTENTS,DESCRIPTION
OKPlaza037,SMS,OKP,아이디찾기,[#{svcName}] 해당 사업자번호로 가입된 아이디는 #{loginId}입니다.,제안자
OKPlaza038,SMS,OKP,비밀번호 초기화,[#{svcName}] 초기화된 비밀번호는 #{newPwd}입니다.,제안자
OKPlaza055,SMS,OKP,잠금 상태 해제,"[#{svcName}] 사용 계정의 잠금 해제 처리가 완료되었습니다. 새로운 비밀번호는 [#{randPassword}""] 입니다",잠김해제 사용자
OKPlaza070,SMS,OKP,로그인 인증번호,[#{svcName}] 로그인 인증번호는 [#{authNumber}] 입니다,로그인 사용자
OKPlaza071,SMS,OKP,비번 오류 10회이상 계정 잠금 시,[#{svcName}] #{loginId} 계정이 잠금처리 되었습니다.,로그인 사용자
OKPlaza072-1,SMS,OKP,아이디 분실 시,[#{svcName}] 요청하신 로그인 아이디는 [#{loginid}] 입니다,로그인 사용자
OKPlaza072-2,SMS,OKP,비밀번호 분실 시,[#{svcName}] 요청하신 로그인 비밀번호는 [#{randPassword}] 입니다,로그인 사용자
OKPlaza001,KKO,OKP,물량배분 주문요청 시,[#{svcName}] [#{branchNm}]의 [#{goodName}] 물량배분주문 요청이 왔습니다.,주문사업장 공사유형 담당자
OKPlaza005,KKO,OKP,주문취소 요청,[#{svcName}] 주문번호 [#{ordeIdenNumb}-#{ordeSequNumb}] 의 주문취소 요청이 있습니다. 미 확인 처리시에는 10일이후 자동취소처리됩니다.,주문 공급사 사용자
OKPlaza009,KKO,OKP,인수처리 시,[#{svcName}] [#{branchNm}]에서 인수확인 하였습니다.,주문 공급사 사용자
OKPlaza014,KKO,OKP,주문변경 시,[#{svcName}] 주문번호 #{ordeIdenNumb}-#{ordeSequNumb}의 #{orderInfo}가 변경 되었으니 OK plaza에서 반드시 확인 바랍니다.,주문 공급사 사용자
OKPlaza018,KKO,OKP,공급사 주문접수 거부,[#{svcName}] 공급사 [#{vendorNm}] 에서 [#{ordeIdenNumb}-#{ordeSequNumb}]를 주문 접수 거부 하였습니다.,주문사업장 공사유형 담당자
OKPlaza019,KKO,OKP,반품요청 시,[#{svcName}] 주문번호 #{ordeIdenNumb}-#{ordeSequNumb}의 반품요청이 왔습니다.,주문 공급사 사용자
OKPlaza022,KKO,OKP,반품철회 시,[#{svcName}] 주문번호 [#{ordeIdenNumb}-#{ordeSequNumb}]의 반품요청이 철회되었습니다.,주문 공급사 사용자
